(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.51321498,  0.48678502]), 0)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.34377529,  0.65622471]), 1)
(array([ 0.35923134,  0.64076866]), 1)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.49903536,  0.50096464]), 1)
(array([ 0.16478681,  0.83521319]), 1)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.27578453,  0.72421547]), 1)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.2186859,  0.7813141]), 1)
(array([ 0.09181419,  0.90818581]), 1)
(array([ 0.80952064,  0.19047936]), 0)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.51970565,  0.48029435]), 0)
(array([ 0.44941934,  0.55058066]), 1)
(array([ 0.13251254,  0.86748746]), 1)
(array([ 0.12091323,  0.87908677]), 1)
(array([ 0.22315927,  0.77684073]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.15712655,  0.84287345]), 1)
(array([ 0.51321498,  0.48678502]), 0)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.61172009,  0.38827991]), 0)
(array([ 0.0896698,  0.9103302]), 1)
(array([ 0.2872581,  0.7127419]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.1597475,  0.8402525]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.09181419,  0.90818581]), 1)
(array([ 0.1597475,  0.8402525]), 1)
(array([ 0.16326719,  0.83673281]), 1)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.22575453,  0.77424547]), 1)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.44299684,  0.55700316]), 1)
(array([ 0.80952064,  0.19047936]), 0)
(array([ 0.22575453,  0.77424547]), 1)
(array([ 0.16684902,  0.83315098]), 1)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.86087581,  0.13912419]), 0)
(array([ 0.11817765,  0.88182235]), 1)
(array([ 0.69324291,  0.30675709]), 0)
(array([ 0.41252128,  0.58747872]), 1)
(array([ 0.50553293,  0.49446707]), 0)
(array([ 0.8134962,  0.1865038]), 0)
(array([ 0.60552906,  0.39447094]), 0)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.749736,  0.250264]), 0)
(array([ 0.5919002,  0.4080998]), 0)
(array([ 0.06492664,  0.93507336]), 1)
(array([ 0.21162422,  0.78837578]), 1)
(array([ 0.60552906,  0.39447094]), 0)
(array([ 0.44026403,  0.55973597]), 1)
(array([ 0.08631399,  0.91368601]), 1)
(array([ 0.28953244,  0.71046756]), 1)
